query_id,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_5,ndcg_at_10,map
1132,0.0,0.0,0.5,0.14285714285714285,0.0,0.20438239758848611,0.07142857142857142
1137,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1140,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
1144,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1146,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1150,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1163,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1185,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25
1187,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
1191,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25
1194,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1196,0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2
1197,0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2
1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1202,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
1204,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1216,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1221,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25
1225,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1232,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1241,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1245,0.0,0.0,1.0,0.125,0.0,0.31546487678572877,0.125
1259,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
1262,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1266,0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2
1270,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1271,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1273,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1274,0.6666666666666666,1.0,1.0,1.0,0.8854598815714874,0.8854598815714874,0.7555555555555555
1278,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1279,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281,0.0,0.0,1.0,0.1111111111111111,0.0,0.3010299956639812,0.1111111111111111
1282,1.0,1.0,1.0,1.0,1.0,1.0,1.0
